TYPE,WORDS,CHARACTER,LANGUAGE,ORDER
10,做液体炸药,做,1,1
10,做牌,做,1,2
10,做爱自拍,做,1,3
10,做爱图片,做,1,4
10,做爱电影,做,1,5
10,做爱电影,做,1,6
10,做爱,做,1,7
10,作弊器,作,1,8
10,作爱,作,1,9
10,左营海军军官学校,左,1,10
10,最快报码室,最,1,11
10,最快报码室,最,1,12
10,最大的广场集体散步,最,1,13
10,钻插,钻,1,14
10,足脚交,足,1,15
10,足交,足,1,16
10,走光偷拍,走,1,17
10,纵情兵团,纵,1,18
10,总政治部,总,1,19
10,总的一封信,总,1,20
10,总参,总,1,21
10,蝬,蝬,1,22
10,宗教自由,宗,1,23
10,宗教迫害,宗,1,24
10,宗教极端主义,宗,1,25
10,自治区党委,自,1,26
10,自治机关,自,1,27
10,自制原子弹,自,1,28
10,自由亚洲电台,自,1,29
10,自由亚洲,自,1,30
10,自由西藏,自,1,31
10,自由网,自,1,32
10,自由圣火,自,1,33
10,自由门,自,1,34
10,自淫,自,1,35
10,自慰抠穴,自,1,36
10,自慰,自,1,37
10,自拍招友,自,1,38
10,自拍诱惑,自,1,39
10,自拍淫照,自,1,40
10,自拍写真,自,1,41
10,自拍美穴,自,1,42
10,自拍美穴,自,1,43
10,自摸,自,1,44
10,自民党,自,1,45
10,自焚,自,1,46
10,自插小穴,自,1,47
10,自插,自,1,48
10,紫彩乃,紫,1,49
10,子宫,子,1,50
10,子弹制,子,1,51
10,孖牌,孖,1,52
10,卓玛嘉,卓,1,53
10,追查国际,追,1,54
10,壮屌,壮,1,55
10,装逼呢,装,1,56
10,装逼,装,1,57
10,装屄呢,装,1,58
10,装屄,装,1,59
10,庄家,庄,1,60
10,转业军人,转,1,61
10,转业军官,转,1,62
10,转业干部,转,1,63
10,转让盐酸羟亚胺配方,转,1,64
10,转让羟亚胺配方,转,1,65
10,转经道,转,1,66
10,转法轮,转,1,67
10,专政,专,1,68
10,专业代销,专,1,69
10,专业代炼,专,1,70
10,专业代练,专,1,71
10,专枪销售气枪,专,1,72
10,驻军,驻,1,73
10,驻藏,驻,1,74
10,竹笋乳,竹,1,75
10,竹联帮,竹,1,76
10,猪聋畸,猪,1,77
10,猪哥6合网中国网址联盟,猪,1,78
10,猪操,猪,1,79
10,朱总理,朱,1,80
10,朱鎔基,朱,1,81
10,朱镕基,朱,1,82
10,朱溶剂,朱,1,83
10,朱容基,朱,1,84
10,朱德,朱,1,85
10,周永康,周,1,86
10,周群,周,1,87
10,周六性吧,周,1,88
10,周恩来,周,1,89
10,钟欣桐,钟,1,90
10,中越自卫反击战,中,1,91
10,中越自卫反击战,中,1,92
10,中医药局,中,1,93
10,中央政治局,中,1,94
10,中央社,中,1,95
10,中央权力被架空,中,1,96
10,中央派系斗争,中,1,97
10,中央警卫局大换血,中,1,98
10,中央高干子弟名单,中,1,99
10,中央电视台,中,1,100
10,中宣部,中,1,101
10,中文搜性网,中,1,102
10,中文搜性网,中,1,103
10,中特,中,1,104
10,中时电子报,中,1,105
10,中山领导流浪汉,中,1,106
10,中南海惊现东宫小朝廷,中,1,107
10,中南海厚黑学,中,1,108
10,中南海高层权力斗争,中,1,109
10,中南海,中,1,110
10,中科院,中,1,111
10,中华人民正邪,中,1,112
10,中华人民实话实说,中,1,113
10,中华人民共和国,中,1,114
10,中华联邦政府,中,1,115
10,中华抗日同盟,中,1,116
10,中國共產黨亡,中,1,117
10,中国最具争议的人温家宝全传,中,1,118
10,中国政坛清华帮盛极而衰,中,1,119
10,中国政府被质疑隐瞒死亡人数,中,1,120
10,中国真实内容,中,1,121
10,中国在世界的不光彩排名,中,1,122
10,中国影帝温家宝,中,1,123
10,中国性爱城,中,1,124
10,中国太子党名单,中,1,125
10,中国是全球唯一绝对不能惹,中,1,126
10,中国事务,中,1,127
10,中国社会进步党,中,1,128
10,中国难以避免陷入内乱,中,1,129
10,中国民主正义党,中,1,130
10,中国民主同盟,中,1,131
10,中国民间保钓联合会,中,1,132
10,中国领导人最强阵容,中,1,133
10,中国劳工观察,中,1,134
10,中国国情咨询网,中,1,135
10,中国共产党亡,中,1,136
10,中国共产党操纵股市,中,1,137
10,中国共产党,中,1,138
10,中国高干子女名单,中,1,139
10,中国高层领导的子女现状,中,1,140
10,中国成人论坛,中,1,141
10,中国のチベット自治区,中,1,142
10,中顧委委員中顾委委员,中,1,143
10,中顧委委員,中,1,144
10,中顾委委员,中,1,145
10,中谷香子,中,1,146
10,中共走狗,中,1,147
10,中共专制,中,1,148
10,中共中央中国,中,1,149
10,中共中央黑幕,中,1,150
10,中共中央,中,1,151
10,中共中南海高层内幕,中,1,152
10,中共政治课,中,1,153
10,中共政坛腐败内幕,中,1,154
10,中共嚴密封鎖消息,中,1,155
10,中共严密封锁消息,中,1,156
10,中共血腥鎮壓,中,1,157
10,中共血腥镇压,中,1,158
10,中共心中最大的恐惧,中,1,159
10,中共邪恶,中,1,160
10,中共邪惡,中,1,161
10,中共邪党,中,1,162
10,中共陷內鬥,中,1,163
10,中共陷内斗,中,1,164
10,中共偽政權,中,1,165
10,中共伪政权,中,1,166
10,中共統治危機,中,1,167
10,中共统治危机,中,1,168
10,中共十七大前明爭暗鬥,中,1,169
10,中共十七大前明争暗斗,中,1,170
10,中共任用政治血緣,中,1,171
10,中共任用政治血缘,中,1,172
10,中共迫害,中,1,173
10,中共領導人黑幕,中,1,174
10,中共领导人黑幕,中,1,175
10,中共垮臺,中,1,176
10,中共垮台,中,1,177
10,中共軍隊血腥鎮壓,中,1,178
10,中共軍隊黑幕,中,1,179
10,中共军队血腥镇压,中,1,180
10,中共军队黑幕,中,1,181
10,中共警察,中,1,182
10,中共近期權力鬥爭,中,1,183
10,中共近期权力斗争,中,1,184
10,中共监狱,中,1,185
10,中共激烈內鬥,中,1,186
10,中共激烈内斗,中,1,187
10,中共還在祖國橫行,中,1,188
10,中共还在祖国横行,中,1,189
10,中共黑匣子,中,1,190
10,中共黑幕,中,1,191
10,中共黑帮,中,1,192
10,中共海外滲透,中,1,193
10,中共海外渗透,中,1,194
10,中共高層軍權鬥爭,中,1,195
10,中共高层权力斗争,中,1,196
10,中共高层权贵内幕,中,1,197
10,中共高层内幕,中,1,198
10,中共高层军权斗争,中,1,199
10,中共高层黑幕,中,1,200
10,中共高层斗争,中,1,201
10,中共粉飾太平,中,1,202
10,中共粉饰太平,中,1,203
10,中共恶霸,中,1,204
10,中共独枭,中,1,205
10,中共独裁制度必将灭亡,中,1,206
10,中共独裁制度,中,1,207
10,中共独裁暴政,中,1,208
10,中共独裁,中,1,209
10,中共獨裁,中,1,210
10,中共的死穴,中,1,211
10,中共的暴政,中,1,212
10,中共查禁,中,1,213
10,中共暴政,中,1,214
10,中共幫兇,中,1,215
10,中共帮凶,中,1,216
10,中共,中,1,217
10,中港色性,中,1,218
10,中俄边界,中,1,219
10,中出解禁,中,1,220
10,致幻剂,致,1,221
10,致胡书记的公开信,致,1,222
10,质检局,质,1,223
10,制作炸药,制,1,224
10,制作原子弹,制,1,225
10,制作盐酸羟亚胺,制,1,226
10,制作羟亚胺,制,1,227
10,制作工艺,制,1,228
10,制服誘惑,制,1,229
10,制服诱惑,制,1,230
10,制服狩,制,1,231
10,制服狩,制,1,232
10,制服美妇,制,1,233
10,支联会,支,1,234
10,支持达赖,支,1,235
10,政治协商会议,政,1,236
10,政治黑暗,政,1,237
10,政治風波,政,1,238
10,政治风波,政,1,239
10,政协,政,1,240
10,政府无能,政,1,241
10,政府丑闻&网12号披露,政,1,242
10,政府,政,1,243
10,政变,政,1,244
10,郑少东,郑,1,245
10,正悟网,正,1,246
10,正式做（有套）,正,1,247
10,正式做（无套）,正,1,248
10,正念,正,1,249
10,正见网,正,1,250
10,征集业主意见,征,1,251
10,镇江公安局&办公楼&豪华&别墅,镇,1,252
10,姫辱,姫,1,253
10,真主党,真,1,254
10,真一善一美,真,1,255
10,真善忍,真,1,256
10,真善美,真,1,257
10,真人主播,真,1,258
10,真人绣,真,1,259
10,真理教,真,1,260
10,针孔偷拍,针,1,261
10,针孔摄像,针,1,262
10,哲蚌寺,哲,1,263
10,哲蚌市,哲,1,264
10,趙紫陽,趙,1,265
10,趙zi陽,趙,1,266
10,赵紫阳&六四&自辩书,赵,1,267
10,赵紫阳,赵,1,268
10,赵家堡有动物异常现象,赵,1,269
10,赵zi阳,赵,1,270
10,召奸,召,1,271
10,召会,召,1,272
10,找农总行,找,1,273
10,找建总行,找,1,274
10,找妓女,找,1,275
10,找工总行,找,1,276
10,招妓,招,1,277
10,张志东,张,1,278
10,张新枫,张,1,279
10,张筱雨,张,1,280
10,张先玲,张,1,281
10,张立昌,张,1,282
10,张德亮预测,张,1,283
10,张德江,张,1,284
10,展穴,展,1,285
10,炸药制作方法,炸,1,286
10,炸药配方,炸,1,287
10,扎针事件,扎,1,288
10,扎针党,扎,1,289
10,扎瓦赫里,扎,1,290
10,扎卡维,扎,1,291
10,曾振国,曾,1,292
10,曾慶紅十七大下課,曾,1,293
10,曾慶紅步江後塵,曾,1,294
10,曾慶紅被迫寫信十七大退,曾,1,295
10,曾庆红十七大下课,曾,1,296
10,曾庆红步江后尘,曾,1,297
10,曾庆红被迫写信十七大退,曾,1,298
10,曾庆红被迫写信十七大,曾,1,299
10,曾庆红,曾,1,300
10,曾培炎,曾,1,301
